BC ID	MUT ID	STRAIN	ENV	DAY	T0	T1	T2	T3	T4
49395	132	DivAnc	SC3	1	290	1500	768	940	1457
49431	353	DivAnc	SC3	1	44	119	15	11	3
49456	976	DivAnc	SC3	1	110	629	297	484	491
49561	566	DivAnc	SC3	1	248	1290	632	917	1136
49612	423	DivAnc	SC3	1	101	452	281	188	252
49618	846	DivAnc	SC3	1	48	27	44	38	29
49656	391	DivAnc	SC3	1	3	2	0	5	0
49667	804	DivAnc	SC3	1	2	4	2	2	2
49829	423	DivAnc	SC3	1	60	252	130	159	127
50200	162	DivAnc	SC3	1	240	1385	831	1090	1111
50270	819	DivAnc	SC3	1	494	2585	1390	2050	2389
50396	536	DivAnc	SC3	1	2	47	1	2	1
50567	976	DivAnc	SC3	1	239	1375	861	1358	1586
50759	486	DivAnc	SC3	1	121	803	396	426	422
50821	60	DivAnc	SC3	1	254	1379	716	1268	1400
50972	423	DivAnc	SC3	1	646	3081	1782	2743	2733
51203	856	DivAnc	SC3	1	43	81	11	11	0
51278	439	DivAnc	SC3	1	141	896	482	616	997
51327	618	DivAnc	SC3	1	1	1	3	1	0
51354	1013	DivAnc	SC3	1	130	118	115	105	44
51425	777	DivAnc	SC3	1	228	938	608	1140	1180
51711	144	DivAnc	SC3	1	51	167	47	92	43
51745	280	DivAnc	SC3	1	0	1	1	1	0
51796	535	DivAnc	SC3	1	48	112	25	22	53
51825	742	DivAnc	SC3	1	154	522	321	313	312
51929	440	DivAnc	SC3	1	8	2	0	0	0
51959	177	DivAnc	SC3	1	1	1	1	0	2
51966	80	DivAnc	SC3	1	293	2130	1085	1517	1442
52066	190	DivAnc	SC3	1	71	122	40	7	2
52094	521	DivAnc	SC3	1	0	1	2	0	1
52165	209	DivAnc	SC3	1	197	1036	494	772	685
52269	651	DivAnc	SC3	1	12	14	17	7	3
52454	403	DivAnc	SC3	1	426	2414	1158	1770	1717
52838	898	DivAnc	SC3	1	2	1	1	9	0
52926	367	DivAnc	SC3	1	0	2	1	4	1
52952	1014	DivAnc	SC3	1	103	269	83	68	19
52978	138	DivAnc	SC3	1	142	666	359	542	494
53099	910	DivAnc	SC3	1	0	0	1	0	0
53219	566	DivAnc	SC3	1	80	407	188	274	339
53236	625	DivAnc	SC3	1	231	1211	621	768	776
53250	605	DivAnc	SC3	1	44	167	27	37	3
53388	371	DivAnc	SC3	1	11	5	8	8	3
53452	998	DivAnc	SC3	1	13	18	7	9	1
53509	993	DivAnc	SC3	1	197	604	760	1123	1032
53524	476	DivAnc	SC3	1	197	896	448	879	1143
53816	66	DivAnc	SC3	1	203	1232	553	520	554
53975	986	DivAnc	SC3	1	4	4	5	6	5
54381	812	DivAnc	SC3	1	239	1025	570	742	842
54391	926	DivAnc	SC3	1	8	11	15	10	4
54636	886	DivAnc	SC3	1	0	0	0	2	0
54663	998	DivAnc	SC3	1	68	146	62	124	100
54667	112	DivAnc	SC3	1	225	1282	666	905	905
54952	381	DivAnc	SC3	1	659	3741	2483	3167	4086
54955	159	DivAnc	SC3	1	110	491	252	302	217
54980	935	DivAnc	SC3	1	75	73	72	75	37
54989	100	DivAnc	SC3	1	1	7	9	4	8
55025	981	DivAnc	SC3	1	265	1325	630	862	860
55043	47	DivAnc	SC3	1	27	13	79	52	22
55115	647	DivAnc	SC3	1	298	1518	773	1214	1437
55226	1001	DivAnc	SC3	1	2	3	2	1	0
55240	597	DivAnc	SC3	1	6	3	3	1	1
55299	434	DivAnc	SC3	1	1	1	2	4	2
55398	894	DivAnc	SC3	1	81	445	260	430	346
55558	804	DivAnc	SC3	1	1	2	0	1	0
55731	118	DivAnc	SC3	1	198	1442	607	888	958
55737	705	DivAnc	SC3	1	372	2684	1544	2144	2314
55833	855	DivAnc	SC3	1	26	74	4	0	0
56165	313	DivAnc	SC3	1	2	1	3	0	0
56220	727	DivAnc	SC3	1	0	2	3	2	2
56287	279	DivAnc	SC3	1	0	2	1	3	1
56331	780	DivAnc	SC3	1	206	984	468	529	627
56377	243	DivAnc	SC3	1	212	1178	780	919	1078
56407	625	DivAnc	SC3	1	129	625	325	238	162
56502	202	DivAnc	SC3	1	168	737	229	313	106
56726	647	DivAnc	SC3	1	1	1	2	2	0
56857	757	DivAnc	SC3	1	103	592	384	385	593
56885	870	DivAnc	SC3	1	3	0	0	0	0
57076	930	DivAnc	SC3	1	172	881	474	692	719
57261	969	DivAnc	SC3	1	270	1279	529	680	663
57317	217	DivAnc	SC3	1	469	2776	1310	2101	2098
57342	1005	DivAnc	SC3	1	128	1005	531	711	638
57423	119	DivAnc	SC3	1	87	539	261	382	436
57517	461	DivAnc	SC3	1	82	362	187	217	250
57606	805	DivAnc	SC3	1	79	540	255	290	278
57746	125	DivAnc	SC3	1	324	1998	971	1122	1150
57788	423	DivAnc	SC3	1	924	4203	2098	2678	2605
58033	50	DivAnc	SC3	1	1	1	1	1	1
58151	200	DivAnc	SC3	1	2	0	0	3	1
58161	102	DivAnc	SC3	1	1	3	3	1	3
58259	926	DivAnc	SC3	1	419	1621	958	1179	1202
58473	482	DivAnc	SC3	1	0	1	0	0	2
58548	362	DivAnc	SC3	1	856	4139	2725	3880	3846
58573	202	DivAnc	SC3	1	379	1245	571	521	432
58638	423	DivAnc	SC3	1	8	43	21	60	91
58683	88	DivAnc	SC3	1	123	652	200	294	272
58744	817	DivAnc	SC3	1	150	1038	589	838	945
58827	333	DivAnc	SC3	1	2	1	1	1	0
59108	412	DivAnc	SC3	1	260	1439	617	889	978
59196	718	DivAnc	SC3	1	486	2351	1379	1694	2086
59197	47	DivAnc	SC3	1	58	48	50	53	18
