"","BC_ID","Gen_0","Strain","Environment"
"425",8094,-5.43007908873,"DivAnc","1_SC3"
"426",8095,-3.02954109934,"DivAnc","1_SC3"
"427",8102,-5.73110908439,"DivAnc","1_SC3"
"428",8137,-4.16290736033,"DivAnc","1_SC3"
"429",8148,-3.31948937843,"DivAnc","1_SC3"
"430",8164,-5.73110908439,"DivAnc","1_SC3"
"431",8167,-2.70213137918,"DivAnc","1_SC3"
"432",8187,-4.88601104438,"DivAnc","1_SC3"
"433",8236,-3.24397070892,"DivAnc","1_SC3"
"434",8238,-5.43007908873,"DivAnc","1_SC3"
"435",8275,-2.91156514885,"DivAnc","1_SC3"
"436",8295,-3.16173517478,"DivAnc","1_SC3"
"437",8309,-4.55501782534,"DivAnc","1_SC3"
"438",8316,-3.97523422872,"DivAnc","1_SC3"
"439",8334,-3.13671653402,"DivAnc","1_SC3"
"440",8386,-3.03738213547,"DivAnc","1_SC3"
"441",8391,-4.28395105305,"DivAnc","1_SC3"
"442",8462,-5.73110908439,"DivAnc","1_SC3"
"443",8545,-3.61383778874,"DivAnc","1_SC3"
"444",8548,-5.73110908439,"DivAnc","1_SC3"
"445",8555,-3.02695856755,"DivAnc","1_SC3"
"446",8576,-5.25398782967,"DivAnc","1_SC3"
"447",8603,-5.73110908439,"DivAnc","1_SC3"
"448",8651,-5.73110908439,"DivAnc","1_SC3"
"449",8652,-3.18210582237,"DivAnc","1_SC3"
"450",8686,-4.50066016301,"DivAnc","1_SC3"
"451",8720,-5.43007908873,"DivAnc","1_SC3"
"452",8730,-5.73110908439,"DivAnc","1_SC3"
"453",8738,-5.73110908439,"DivAnc","1_SC3"
"454",8797,-5.73110908439,"DivAnc","1_SC3"
"455",8832,-5.73110908439,"DivAnc","1_SC3"
"456",8840,-3.12258305082,"DivAnc","1_SC3"
"457",8949,-3.19581496435,"DivAnc","1_SC3"
"458",8967,-5.43007908873,"DivAnc","1_SC3"
