STRAIN	BC_ID	MU_ID	ENV	gen_0	gen_10	gen_20	gen_30	gen_40
DivAnc	37295	729	1_SC3	342	1984	999	2427	1863
DivAnc	119329	638	1_SC3	63	448	212	388	444
DivAnc	12925	555	1_SC3	149	884	367	718	636
DivAnc	5503	381	1_SC3	121	676	354	695	522
DivAnc	27607	924	1_SC3	20	138	37	55	49
DivAnc	1547	254	1_SC3	2	5	0	0	0
DivAnc	1545	97	1_SC3	2	0	0	0	0
DivAnc	24392	597	1_SC3	2	10	0	0	0
DivAnc	39586	809	1_SC3	199	1118	595	1313	960
DivAnc	34098	639	1_SC3	304	1735	801	1692	1365
DivAnc	187640	423	1_SC3	422	2560	1310	2715	1984
DivAnc	38294	445	1_SC3	299	1669	917	1899	1488
DivAnc	78127	374	1_SC3	4	0	0	0	0
DivAnc	233341	773	1_SC3	333	2005	1045	1981	1513
DivAnc	66370	1000	1_SC3	1	1	1	8	7
DivAnc	313378	792	1_SC3	1	2	6	22	11
DivAnc	31753	506	1_SC3	194	1206	610	1078	780
DivAnc	96652	195	1_SC3	47	219	104	244	202
DivAnc	145596	544	1_SC3	6	15	24	22	18
DivAnc	188605	177	1_SC3	4	26	3	15	24
DivAnc	77562	461	1_SC3	303	1906	850	1749	1388
DivAnc	64178	780	1_SC3	1	0	0	0	0
DivAnc	66402	434	1_SC3	1	0	0	0	0
DivAnc	48944	292	1_SC3	98	621	395	781	734
DivAnc	48942	201	1_SC3	1	8	7	8	3
DivAnc	9987	226	1_SC3	63	414	205	362	290
DivAnc	230679	484	1_SC3	317	1761	810	1680	1371
DivAnc	61758	177	1_SC3	905	5285	2579	4896	3963
DivAnc	44802	622	1_SC3	3	16	15	52	32
DivAnc	119034	587	1_SC3	1	5	4	13	5
DivAnc	192306	717	1_SC3	623	3681	1731	3417	2358
DivAnc	414	169	1_SC3	1	7	0	0	0
DivAnc	126670	896	1_SC3	40	198	121	288	238
DivAnc	151390	974	1_SC3	1	32	3	13	27
DivAnc	411	296	1_SC3	497	2730	1544	3478	2475
DivAnc	73713	695	1_SC3	11	70	22	63	20
DivAnc	5715	180	1_SC3	196	1063	570	1202	928
DivAnc	94401	802	1_SC3	2	20	11	0	0
DivAnc	3827	71	1_SC3	1	0	0	0	0
DivAnc	114055	956	1_SC3	474	2551	1356	2431	1936
DivAnc	114054	440	1_SC3	1	0	0	0	0
DivAnc	154709	853	1_SC3	1	0	0	0	0
DivAnc	311033	423	1_SC3	3	15	4	12	5
DivAnc	82425	757	1_SC3	3	10	8	35	28
DivAnc	10334	983	1_SC3	2	0	0	0	0
DivAnc	188286	573	1_SC3	75	444	234	438	332
DivAnc	66883	87	1_SC3	2	0	0	0	0
DivAnc	93239	165	1_SC3	1	2	0	0	0
DivAnc	35325	381	1_SC3	227	1272	689	1153	879
DivAnc	10702	993	1_SC3	1	4	4	1	0
DivAnc	32813	866	1_SC3	356	1832	1035	1923	1656
DivAnc	35329	66	1_SC3	3	12	0	0	0
DivAnc	7537	732	1_SC3	266	1361	616	1418	961
DivAnc	61359	353	1_SC3	1	20	0	0	0
DivAnc	7533	439	1_SC3	177	1067	523	960	667
DivAnc	224131	612	1_SC3	1	4	6	5	0
DivAnc	55257	968	1_SC3	1	24	8	20	28
DivAnc	19350	261	1_SC3	1	12	10	36	38
DivAnc	140112	211	1_SC3	202	1064	621	1392	1043
DivAnc	65211	177	1_SC3	410	2336	1307	2285	1743
DivAnc	60338	89	1_SC3	3	3	0	0	0
DivAnc	16653	996	1_SC3	398	2412	1203	2379	1767
DivAnc	387	266	1_SC3	792	4529	2190	4825	3748
DivAnc	388	26	1_SC3	166	1064	523	885	702
DivAnc	74037	456	1_SC3	1	11	4	4	0
DivAnc	110377	2	1_SC3	140	963	468	920	803
DivAnc	5271	576	1_SC3	1	10	0	0	0
DivAnc	64854	809	1_SC3	1	0	0	0	0
DivAnc	98185	517	1_SC3	3	10	2	5	0
DivAnc	195653	807	1_SC3	1	8	0	0	0
DivAnc	10986	106	1_SC3	2	0	0	0	0
DivAnc	13664	913	1_SC3	1	24	25	22	19
DivAnc	10983	772	1_SC3	186	1132	554	1204	1049
DivAnc	224358	506	1_SC3	178	1086	548	1161	944
DivAnc	73444	412	1_SC3	67	249	135	234	214
DivAnc	82737	619	1_SC3	2	5	6	29	35
DivAnc	9969	119	1_SC3	449	2626	1249	2704	2085
DivAnc	56857	757	1_SC3	155	1016	543	912	757
DivAnc	24957	690	1_SC3	1	8	19	39	20
DivAnc	150028	938	1_SC3	1	18	0	0	0
DivAnc	3756	227	1_SC3	631	3350	1706	3368	2648
DivAnc	2191	924	1_SC3	50	310	162	350	259
DivAnc	195539	767	1_SC3	1	0	0	0	0
DivAnc	16728	998	1_SC3	2	6	0	0	0
DivAnc	74450	34	1_SC3	774	4326	2193	4328	3266
DivAnc	13524	534	1_SC3	1	15	5	12	47
DivAnc	224919	431	1_SC3	149	859	430	778	533
DivAnc	51825	742	1_SC3	224	1359	742	1554	1077
DivAnc	16726	252	1_SC3	1	5	5	5	0
DivAnc	25424	902	1_SC3	11	80	33	59	52
DivAnc	16236	268	1_SC3	7	52	31	73	62
DivAnc	12039	623	1_SC3	1	0	0	0	0
DivAnc	2203	846	1_SC3	2	15	6	6	2
DivAnc	2204	947	1_SC3	1	5	0	0	0
DivAnc	98597	231	1_SC3	361	2101	986	2076	1639
DivAnc	270607	85	1_SC3	235	1227	611	1331	1151
DivAnc	12037	536	1_SC3	199	1173	603	1169	915
DivAnc	11587	254	1_SC3	1	2	1	17	23
DivAnc	8102	883	1_SC3	1	3	4	21	4
DivAnc	16836	512	1_SC3	1	0	0	0	0
DivAnc	143988	423	1_SC3	637	3716	1847	3917	2875
DivAnc	36312	83	1_SC3	1	0	0	0	0
DivAnc	102958	1003	1_SC3	115	754	476	735	533
DivAnc	17524	513	1_SC3	88	557	309	662	565
DivAnc	160	781	1_SC3	106	606	309	515	383
DivAnc	17292	66	1_SC3	246	1539	773	1490	957
DivAnc	80170	690	1_SC3	55	308	189	234	180
DivAnc	117348	48	1_SC3	265	1367	826	1699	1133
DivAnc	45463	9	1_SC3	3	28	27	80	31
DivAnc	4834	627	1_SC3	4	55	15	52	38
DivAnc	6358	780	1_SC3	40	257	119	173	89
DivAnc	7993	86	1_SC3	2	25	8	35	19
DivAnc	116694	896	1_SC3	24	144	51	61	47
DivAnc	104132	254	1_SC3	1	0	0	0	0
DivAnc	11634	112	1_SC3	313	1826	989	1824	1595
DivAnc	42495	31	1_SC3	378	2314	1283	2616	2260
DivAnc	140450	70	1_SC3	146	639	327	490	352
DivAnc	125888	423	1_SC3	3	27	8	24	30
DivAnc	98280	985	1_SC3	237	1250	594	1301	1043
DivAnc	22299	625	1_SC3	2	0	0	0	0
DivAnc	9341	813	1_SC3	3	10	4	1	3
DivAnc	5298	968	1_SC3	274	1529	826	1609	1172
DivAnc	46840	61	1_SC3	2	7	0	0	0
DivAnc	5296	577	1_SC3	2	0	0	0	0
DivAnc	10165	1005	1_SC3	410	2324	1084	2100	1585
DivAnc	45866	326	1_SC3	2	5	0	0	0
DivAnc	9619	1001	1_SC3	1	0	0	0	0
DivAnc	60664	401	1_SC3	7	43	11	51	53
DivAnc	22816	846	1_SC3	363	2096	1091	2500	1748
DivAnc	179796	202	1_SC3	1	0	0	0	0
DivAnc	5057	381	1_SC3	18	86	27	75	25
DivAnc	5050	949	1_SC3	6	23	17	19	7
DivAnc	1815	962	1_SC3	337	2111	1060	2317	1722
DivAnc	16906	959	1_SC3	462	2803	1516	2924	2288
DivAnc	89256	213	1_SC3	1	0	0	0	0
DivAnc	163828	258	1_SC3	1	7	12	15	25
DivAnc	195318	757	1_SC3	2	20	8	20	28
DivAnc	102397	605	1_SC3	35	237	111	215	189
DivAnc	106390	456	1_SC3	1	6	12	1	21
DivAnc	53975	986	1_SC3	4	23	0	0	0
DivAnc	42926	906	1_SC3	1	0	0	0	0
DivAnc	36821	646	1_SC3	477	2566	1346	2622	1952
DivAnc	97463	246	1_SC3	253	1548	766	1422	1132
