STRAIN	BC_ID	MU_ID	ENV	gen_0	gen_10	gen_20	gen_30	gen_40
DivAnc	120902	1014	1_SC3	18	143	78	130	84
DivAnc	148768	372	1_SC3	207	1013	583	1339	1226
DivAnc	268740	807	1_SC3	1055	6313	3301	6641	5340
DivAnc	106171	674	1_SC3	424	2327	1243	2778	1993
DivAnc	84302	247	1_SC3	1	7	0	0	0
DivAnc	227704	829	1_SC3	1	15	5	29	19
DivAnc	18815	680	1_SC3	1	14	6	0	0
DivAnc	28247	34	1_SC3	1181	7183	3504	6628	5059
DivAnc	78531	340	1_SC3	67	342	174	272	186
DivAnc	33258	381	1_SC3	2	0	0	0	0
DivAnc	710	792	1_SC3	1	0	0	0	0
DivAnc	152007	310	1_SC3	129	775	386	763	657
DivAnc	122502	461	1_SC3	1	6	0	0	0
DivAnc	80936	461	1_SC3	2	20	6	18	5
DivAnc	58259	926	1_SC3	631	3785	1786	3741	3056
DivAnc	99668	115	1_SC3	2	0	0	0	0
DivAnc	1068	449	1_SC3	100	491	308	586	437
DivAnc	211777	887	1_SC3	294	1839	988	1919	1526
DivAnc	30699	50	1_SC3	1	0	0	0	0
DivAnc	208475	76	1_SC3	2	17	11	29	19
DivAnc	40839	62	1_SC3	492	3064	1392	3044	2162
DivAnc	30694	896	1_SC3	33	224	140	255	241
DivAnc	5304	786	1_SC3	1	15	0	0	0
DivAnc	1067	670	1_SC3	1	19	6	9	5
DivAnc	5307	437	1_SC3	86	471	337	659	607
DivAnc	84541	214	1_SC3	207	1251	645	1234	898
DivAnc	223880	7	1_SC3	1	10	2	6	11
DivAnc	243126	956	1_SC3	5	17	17	36	49
DivAnc	68088	807	1_SC3	1524	9010	4637	9775	7713
DivAnc	109591	790	1_SC3	410	2316	1195	2429	2117
DivAnc	226909	835	1_SC3	251	1411	626	1331	821
DivAnc	593	593	1_SC3	2	11	13	21	15
DivAnc	8236	625	1_SC3	307	1832	991	1859	1548
DivAnc	273936	823	1_SC3	1	0	0	0	0
DivAnc	129785	311	1_SC3	264	1713	853	1911	1350
DivAnc	8238	245	1_SC3	2	3	0	0	0
DivAnc	112398	288	1_SC3	1	0	0	0	0
DivAnc	31270	470	1_SC3	62	344	166	262	196
DivAnc	133898	138	1_SC3	132	687	385	870	571
DivAnc	97111	195	1_SC3	180	1144	511	998	787
DivAnc	2826	149	1_SC3	4	31	9	21	29
DivAnc	24279	617	1_SC3	458	2575	1426	2753	2160
DivAnc	20216	400	1_SC3	19	78	44	117	106
DivAnc	7630	520	1_SC3	540	2832	1421	2947	2454
DivAnc	159661	899	1_SC3	163	952	581	1095	854
DivAnc	14753	119	1_SC3	3	27	11	37	19
DivAnc	37139	33	1_SC3	352	2222	925	1861	1235
DivAnc	115174	647	1_SC3	2	0	0	0	0
DivAnc	31418	764	1_SC3	1	16	0	0	0
DivAnc	118461	986	1_SC3	1	0	0	0	0
DivAnc	171562	773	1_SC3	299	1765	901	1688	1348
DivAnc	79669	589	1_SC3	192	1115	573	1311	1006
DivAnc	1330	650	1_SC3	53	371	250	492	427
DivAnc	445	120	1_SC3	7	23	10	26	13
DivAnc	71387	212	1_SC3	167	879	407	864	736
DivAnc	137425	408	1_SC3	2	0	0	0	0
DivAnc	141948	1003	1_SC3	3	0	0	0	0
DivAnc	51489	171	1_SC3	2	5	0	4	0
